10,1,64
10,3,23
10,5,13
10,7,9
10,9,7
15,1,169
15,3,63
15,5,37
15,7,24
15,9,20
20,1,324
20,3,108
20,5,69
20,7,51
20,9,36
25,1,529
25,3,182
25,5,113
25,7,86
25,9,65
30,1,784
30,3,277
30,5,165
30,7,112
30,9,103
