10,1,64
10,2,60
10,3,18
10,4,17
10,5,12
10,6,10
10,7,9
10,8,8
10,9,7
10,10,7
15,1,169
15,2,152
15,3,27
15,4,27
15,5,32
15,6,46
15,7,27
15,8,22
15,9,14
15,10,12
20,1,324
20,2,320
20,3,37
20,4,37
20,5,38
20,6,43
20,7,46
20,8,68
20,9,93
20,10,30
25,1,529
25,2,502
25,3,47
25,4,47
25,5,48
25,6,48
25,7,62
25,8,51
25,9,60
25,10,56
30,1,784
30,2,780
30,3,57
30,4,57
30,5,58
30,6,58
30,7,77
30,8,76
30,9,74
30,10,88
35,1,1089
35,2,1052
35,3,67
35,4,67
35,5,68
35,6,68
35,7,92
35,8,91
35,9,89
35,10,88
40,1,1444
40,2,1440
40,3,77
40,4,77
40,5,78
40,6,78
40,7,107
40,8,106
40,9,104
40,10,81
