30.00,12.00,1.00,784.00
30.00,14.00,1.00,784.00
30.00,16.00,1.00,784.00
30.00,18.00,1.00,784.00
30.00,20.00,1.00,784.00
30.00,22.00,1.00,784.00
30.00,24.00,1.00,784.00
30.00,26.00,1.00,784.00
30.00,28.00,1.00,784.00
30.00,30.00,1.00,784.00
30.00,2.00,3.00,489.00
30.00,4.00,3.00,277.00
30.00,6.00,3.00,277.00
30.00,8.00,3.00,277.00
30.00,10.00,3.00,277.00
30.00,12.00,3.00,277.00
30.00,14.00,3.00,277.00
30.00,16.00,3.00,277.00
30.00,18.00,3.00,277.00
30.00,20.00,3.00,277.00
30.00,22.00,3.00,277.00
30.00,24.00,3.00,277.00
30.00,26.00,3.00,277.00
30.00,28.00,3.00,277.00
30.00,30.00,3.00,277.00
30.00,2.00,5.00,304.00
30.00,4.00,5.00,165.00
30.00,6.00,5.00,165.00
30.00,8.00,5.00,165.00
30.00,10.00,5.00,165.00
30.00,12.00,5.00,165.00
30.00,14.00,5.00,165.00
30.00,16.00,5.00,165.00
30.00,18.00,5.00,165.00
30.00,20.00,5.00,165.00
30.00,22.00,5.00,165.00
30.00,24.00,5.00,165.00
30.00,26.00,5.00,165.00
30.00,28.00,5.00,165.00
30.00,30.00,5.00,165.00
30.00,2.00,7.00,265.00
30.00,4.00,7.00,112.00
30.00,6.00,7.00,112.00
30.00,8.00,7.00,112.00
30.00,10.00,7.00,112.00
30.00,12.00,7.00,112.00
30.00,14.00,7.00,112.00
30.00,16.00,7.00,112.00
30.00,18.00,7.00,112.00
30.00,20.00,7.00,112.00
30.00,22.00,7.00,112.00
30.00,24.00,7.00,112.00
30.00,26.00,7.00,112.00
30.00,28.00,7.00,112.00
30.00,30.00,7.00,112.00
30.00,2.00,9.00,232.00
30.00,4.00,9.00,103.00
30.00,6.00,9.00,103.00
30.00,8.00,9.00,103.00
30.00,10.00,9.00,103.00
30.00,12.00,9.00,103.00
30.00,14.00,9.00,103.00
30.00,16.00,9.00,103.00
30.00,18.00,9.00,103.00
30.00,20.00,9.00,103.00
30.00,22.00,9.00,103.00
30.00,24.00,9.00,103.00
30.00,26.00,9.00,103.00
30.00,28.00,9.00,103.00
30.00,30.00,9.00,103.00
